Gene ID	Kinase ID
YLL021W	YPL140C
YNL271C	YBR160W
YNL042W	YBR160W
YJL098W	YPL031C
YNL068C	YMR001C
YDR225W	YKL139W
YBL003C	YKL139W
YDR224C	YKL139W
YBL002W	YKL139W
YNL102W	YKL139W
YDL140C	YPL204W
YDR328C	YGR188C
YIL144W	YAR018C
YIL106W	YAR019C
YIL106W	YMR001C
YJL164C	YJR066W
YOL004W	YNL161W
YBL016W	YLR362W
YGR040W	YBL105C
YJL128C	YHR030C
YHR030C	YJL128C
YHR030C	YLR362W
YLR362W	YHR030C
YDL159W	YLR362W
YKL189W	YNL161W
YLR362W	YLR113W
YAR019C	YMR001C
YPR119W	YKL048C
YNR031C	YCR073C
YCR073C	YNR031C
YDL159W	YLR113W
YLR314C	YKL101W
YOR341W	YKL139W
YHR115C	YPL031C
YGR238C	YBR160W
YKL168C	YBR160W
YOR177C	YBR160W
YMR165C	YPL031C
YDR293C	YPL031C
YLR410W	YPL031C
YBR138C	YBR160W
YFR017C	YPL031C
YHL027W	YHR030C
YDL029W	YIL095W
YMR032W	YGR092W
YIL042C	YGL059W
YAL056W	YJL164C
YNL271C	YHL007C
YBL084C	YMR001C
YPL086C	YPL204W
YBR009C	YPL153C
YKL062W	YPL203W
YNL183C	YJR066W
YNL183C	YKL203C
YER132C	YNL307C
YDL047W	YPL204W
YJR066W	YNL183C
YKL203C	YNL183C
YBR112C	YDR477W
YNL180C	YJL095W
YNL180C	YHR030C
YOR014W	YNL154C
YOR014W	YHR135C
YOR014W	YDR507C
YOR181W	YIL095W
YGR086C	YHR030C
YML109W	YBR160W
YNR031C	YIL147C
YOL082W	YDR122W
YBR200W	YDL028C
YAR014C	YLR096W
YBR038W	YPR106W
YOL149W	YPL204W
YPL049C	YBL016W
YPL049C	YGR040W
YDR480W	YGR040W
YKL129C	YJL095W
YKR048C	YCL024W
YKR048C	YMR139W
YDR162C	YOL113W
YDR162C	YDL028C
YGL213C	YBR059C
YBL007C	YBL105C
YGR241C	YNL020C
YGR241C	YIL095W
YJR076C	YJL187C
YKL048C	YDR477W
YLR229C	YOL113W
YNL257C	YDR477W
YMR307W	YJL095W
YDL225W	YKL048C
YOR039W	YOR061W
YJL030W	YNL298W
YKR048C	YKL101W
YDR099W	YPL153C
YNL225C	YMR001C
YGR098C	YMR001C
YLL021W	YNR031C
YDR076W	YDL101C
YHR188C	YNL298W
YAL041W	YJL187C
YBR109C	YOL016C
YKL104C	YHR030C
YKL062W	YDR477W
