TAG	NAME	GWEIGHT	1181-0519.x	1181-0519.y	FK506.x	FK506.y	CuSO4.x	CuSO4.y	doxorubicin.x	doxorubicin.y	atorvastatin.x	atorvastatin.y	AA-mixture.x	AA-mixture.y	methionine.x	methionine.y	menadione.x	menadione.y	H2O2.x	H2O2.y	ethanol.x	ethanol.y	heat-shock.x	heat-shock.y	N-starvation.x	sorbitol.x	NaCl.x	NaCl.y	sorbitol.y	N-starvation.y
TM_3841	TM_3841	1.000000	0.184935	0.334584	0.369914	0.285127	0.129114	0.310615	-0.008429	0.146471	-0.206182	-0.195854	-0.050939	-0.202296	-0.266279	-0.254224	-0.024563	-0.031208	-0.033089	-0.051564	0.171877	0.193603	0.451273	0.474137	-0.043249	0.008029	0.068012	-0.099056	-0.107041	0.011580
TM_1021	TM_1021	1.000000	0.000501	0.029353	0.040062	0.014270	-0.046136	-0.031194	0.077713	0.056205	0.023740	-0.023485	-0.046975	-0.059284	-0.066093	-0.116439	0.041107	-0.027164	0.107777	-0.015191	0.004497	0.007685	0.229120	0.221661	-0.056494	0.022476	-0.077273	-0.076022	-0.025719	-0.036402
TM_2830	TM_2830	1.000000	0.033540	0.014814	0.070472	0.076597	-0.038099	-0.133648	0.105991	0.180802	-0.001838	-0.049986	0.212219	0.000052	-0.222186	-0.121855	-0.054266	-0.153542	0.105984	0.092214	0.209460	0.250863	0.639292	0.667065	-0.070493	-0.058085	-0.124941	-0.040602	-0.166964	-0.014323
TM_3203	TM_3203	1.000000	0.063304	0.021166	0.081439	0.052377	-0.093963	-0.049331	0.037875	0.055918	0.004350	-0.061365	0.100889	-0.019450	-0.112330	-0.089041	0.056030	-0.023168	0.102410	0.148979	-0.008270	-0.048339	0.477622	0.510709	-0.011416	0.059400	-0.139906	-0.095227	-0.042465	-0.029251
TM_2770	TM_2770	1.000000	0.053445	-0.199194	-0.110793	-0.174640	-0.072618	-0.061773	0.191693	0.114353	-0.056531	0.048917	0.021446	-0.007656	-0.488614	-0.412446	-0.079464	-0.033406	0.110014	0.120342	0.127829	0.096739	0.553865	0.564078	-0.176710	0.036978	-0.039581	0.103040	-0.006375	-0.153614
TM_3639	TM_3639	1.000000	0.075887	0.015858	0.209802	0.018263	-0.033167	-0.027361	-0.046091	0.115151	-0.027321	-0.028400	0.141900	-0.125626	-0.515820	-0.454349	-0.114400	-0.103726	0.103401	0.187242	0.338901	0.356486	0.532252	0.584169	-0.130003	0.070322	-0.019598	0.038110	-0.069257	-0.108189
TM_3210	TM_3210	1.000000	0.207231	0.082400	-0.134946	0.078062	-0.000158	-0.082841	0.151931	0.055924	-0.001110	-0.051494	0.204908	0.039503	-0.395539	-0.336096	0.067242	0.047188	0.190960	0.092701	-0.027574	-0.009976	0.539635	0.540233	-0.082766	-0.166523	-0.013155	-0.096108	-0.014951	-0.228291
TM_3014	TM_3014	1.000000	-0.096988	-0.177082	-0.003649	0.080701	-0.085697	-0.057895	0.429211	0.333032	0.168069	0.096174	-0.015403	-0.020758	-0.222429	-0.340128	0.205046	0.114523	0.293283	0.344199	-0.095720	-0.071575	0.678926	0.670010	0.005112	0.003036	-0.067761	-0.229391	-0.016935	0.186905
TM_3535	TM_3535	1.000000	0.063111	0.111040	-0.012192	0.021922	0.030564	0.000812	0.192241	0.183117	0.082976	-0.009046	-0.056022	-0.001296	-0.069859	-0.116996	-0.089758	-0.013833	0.226538	0.172453	-0.000594	-0.041767	0.461866	0.395386	0.077010	-0.115993	-0.005172	-0.157530	0.001706	-0.032081
TM_3873	TM_3873	1.000000	0.044769	0.031957	0.054804	0.015778	0.021883	-0.066344	0.254028	0.209110	-0.072255	-0.084240	-0.060176	-0.020611	-0.436174	-0.321366	-0.069965	-0.013316	0.192902	0.135071	-0.089605	-0.110947	0.194866	0.126028	-0.174734	-0.053785	0.016424	0.067223	0.037219	-0.052180
TM_4219	TM_4219	1.000000	0.365181	0.299664	0.089955	-0.029969	-0.068027	0.025526	0.077824	0.211577	0.076659	0.055784	-0.025259	-0.344329	-0.579980	-0.438626	-0.388064	-0.416389	0.038099	-0.277081	0.044424	0.132978	0.138496	0.363364	-0.073804	-0.339559	-0.030811	0.059486	-0.112191	-0.208523
